We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [@(+\\] = [#!\]: AB + CC = DEC  (r.len=3, sym=['A', 'B', 'C', 'D', 'E'], |sym|=5)
  R20: 6 * 57 = 342 -> K=7,D=5,J=2,H=4,A=3,G=6,C=0
  R21: 6 * 89 = 534 -> K=9,D=8,J=4,H=3,A=5,G=6,C=0
  R22: 6 * 97 = 582 -> K=7,D=9,J=2,H=8,A=5,G=6,C=0
  R23: 7 * 24 = 168 -> K=4,D=2,J=8,H=6,A=1,G=7,C=0
  R24: 7 * 28 = 196 -> K=8,D=2,J=6,H=9,A=1,G=7,C=0
  R25: 7 * 52 = 364 -> K=2,D=5,J=4,H=6,A=3,G=7,C=0
  R26: 7 * 56 = 392 -> K=6,D=5,J=2,H=9,A=3,G=7,C=0
  R27: 7 * 59 = 413 -> K=9,D=5,J=3,H=1,A=4,G=7,C=0
  R28: 7 * 69 = 483 -> K=9,D=6,J=3,H=8,A=4,G=7,C=0
  R29: 7 * 89 = 623 -> K=9,D=8,J=3,H=2,A=6,G=7,C=0
  R30: 7 * 93 = 651 -> K=3,D=9,J=1,H=5,A=6,G=7,C=0
  R31: 7 * 94 = 658 -> K=4,D=9,J=8,H=5,A=6,G=7,C=0
  R32: 8 * 37 = 296 -> K=7,D=3,J=6,H=9,A=2,G=8,C=0
  R33: 8 * 52 = 416 -> K=2,D=5,J=6,H=1,A=4,G=8,C=0
  R34: 8 * 59 = 472 -> K=9,D=5,J=2,H=7,A=4,G=8,C=0
  R35: 8 * 64 = 512 -> K=4,D=6,J=2,H=1,A=5,G=8,C=0
  R36: 8 * 74 = 592 -> K=4,D=7,J=2,H=9,A=5,G=8,C=0
  R37: 8 * 79 = 632 -> K=9,D=7,J=2,H=3,A=6,G=8,C=0
  R38: 8 * 92 = 736 -> K=2,D=9,J=6,H=3,A=7,G=8,C=0
  R39: 8 * 94 = 752 -> K=4,D=9,J=2,H=5,A=7,G=8,C=0
  R40: 9 * 42 = 378 -> K=2,D=4,J=8,H=7,A=3,G=9,C=0
  R41: 9 * 52 = 468 -> K=2,D=5,J=8,H=6,A=4,G=9,C=0
  R42: 9 * 72 = 648 -> K=2,D=7,J=8,H=4,A=6,G=9,C=0
  R43: 9 * 84 = 756 -> K=4,D=8,J=6,H=5,A=7,G=9,C=0
  R44: 12 * 38 = 456 -> K=8,D=3,J=6,H=5,A=4,G=2,C=1
  R45: 12 * 39 = 468 -> K=9,D=3,J=8,H=6,A=4,G=2,C=1
  R46: 12 * 48 = 576 -> K=8,D=4,J=6,H=7,A=5,G=2,C=1
  R47: 12 * 57 = 684 -> K=7,D=5,J=4,H=8,A=6,G=2,C=1
  R48: 12 * 59 = 708 -> K=9,D=5,J=8,H=0,A=7,G=2,C=1
  R49: 12 * 65 = 780 -> K=5,D=6,J=0,H=8,A=7,G=2,C=1
  R50: 12 * 67 = 804 -> K=7,D=6,J=4,H=0,A=8,G=2,C=1
  R51: 12 * 78 = 936 -> K=8,D=7,J=6,H=3,A=9,G=2,C=1
  R52: 13 * 46 = 598 -> K=6,D=4,J=8,H=9,A=5,G=3,C=1
  R53: 13 * 54 = 702 -> K=4,D=5,J=2,H=0,A=7,G=3,C=1
  R54: 13 * 56 = 728 -> K=6,D=5,J=8,H=2,A=7,G=3,C=1
  R55: 13 * 74 = 962 -> K=4,D=7,J=2,H=6,A=9,G=3,C=1
  R56: 14 * 59 = 826 -> K=9,D=5,J=6,H=2,A=8,G=4,C=1
  R57: 14 * 67 = 938 -> K=7,D=6,J=8,H=3,A=9,G=4,C=1
  R58: 14 * 68 = 952 -> K=8,D=6,J=2,H=5,A=9,G=4,C=1
  R59: 15 * 24 = 360 -> K=4,D=2,J=0,H=6,A=3,G=5,C=1
  R60: 15 * 26 = 390 -> K=6,D=2,J=0,H=9,A=3,G=5,C=1
  R61: 15 * 32 = 480 -> K=2,D=3,J=0,H=8,A=4,G=5,C=1
  R62: 15 * 42 = 630 -> K=2,D=4,J=0,H=3,A=6,G=5,C=1
  R63: 15 * 48 = 720 -> K=8,D=4,J=0,H=2,A=7,G=5,C=1
  R64: 15 * 62 = 930 -> K=2,D=6,J=0,H=3,A=9,G=5,C=1
  R65: 16 * 37 = 592 -> K=7,D=3,J=2,H=9,A=5,G=6,C=1
  R66: 16 * 45 = 720 -> K=5,D=4,J=0,H=2,A=7,G=6,C=1
  R67: 18 * 32 = 576 -> K=2,D=3,J=6,H=7,A=5,G=8,C=1
  R68: 18 * 39 = 702 -> K=9,D=3,J=2,H=0,A=7,G=8,C=1
  R69: 18 * 42 = 756 -> K=2,D=4,J=6,H=5,A=7,G=8,C=1
  R70: 18 * 52 = 936 -> K=2,D=5,J=6,H=3,A=9,G=8,C=1
  R71: 18 * 54 = 972 -> K=4,D=5,J=2,H=7,A=9,G=8,C=1
  R72: 19 * 32 = 608 -> K=2,D=3,J=8,H=0,A=6,G=9,C=1
  R73: 24 * 7 = 168 -> K=7,D=0,J=8,H=6,A=1,G=4,C=2
  R74: 24 * 15 = 360 -> K=5,D=1,J=0,H=6,A=3,G=4,C=2
  R75: 26 * 15 = 390 -> K=5,D=1,J=0,H=9,A=3,G=6,C=2
  R76: 26 * 35 = 910 -> K=5,D=3,J=0,H=1,A=9,G=6,C=2
  R77: 27 * 34 = 918 -> K=4,D=3,J=8,H=1,A=9,G=7,C=2
  R78: 28 * 7 = 196 -> K=7,D=0,J=6,H=9,A=1,G=8,C=2
  R79: 29 * 6 = 174 -> K=6,D=0,J=4,H=7,A=1,G=9,C=2
  R80: 32 * 15 = 480 -> K=5,D=1,J=0,H=8,A=4,G=2,C=3
  R81: 32 * 18 = 576 -> K=8,D=1,J=6,H=7,A=5,G=2,C=3
  R82: 32 * 19 = 608 -> K=9,D=1,J=8,H=0,A=6,G=2,C=3
  R83: 34 * 27 = 918 -> K=7,D=2,J=8,H=1,A=9,G=4,C=3
  R84: 35 * 26 = 910 -> K=6,D=2,J=0,H=1,A=9,G=5,C=3
  R85: 37 * 8 = 296 -> K=8,D=0,J=6,H=9,A=2,G=7,C=3
  R86: 37 * 16 = 592 -> K=6,D=1,J=2,H=9,A=5,G=7,C=3
  R87: 38 * 4 = 152 -> K=4,D=0,J=2,H=5,A=1,G=8,C=3
  R88: 38 * 12 = 456 -> K=2,D=1,J=6,H=5,A=4,G=8,C=3
  R89: 39 * 4 = 156 -> K=4,D=0,J=6,H=5,A=1,G=9,C=3
  R90: 39 * 12 = 468 -> K=2,D=1,J=8,H=6,A=4,G=9,C=3
  R91: 39 * 18 = 702 -> K=8,D=1,J=2,H=0,A=7,G=9,C=3
  R92: 42 * 9 = 378 -> K=9,D=0,J=8,H=7,A=3,G=2,C=4
  R93: 42 * 15 = 630 -> K=5,D=1,J=0,H=3,A=6,G=2,C=4
  R94: 42 * 18 = 756 -> K=8,D=1,J=6,H=5,A=7,G=2,C=4
  R95: 43 * 6 = 258 -> K=6,D=0,J=8,H=5,A=2,G=3,C=4
  R96: 45 * 16 = 720 -> K=6,D=1,J=0,H=2,A=7,G=5,C=4
  R97: 46 * 13 = 598 -> K=3,D=1,J=8,H=9,A=5,G=6,C=4
  R98: 48 * 12 = 576 -> K=2,D=1,J=6,H=7,A=5,G=8,C=4
  R99: 48 * 15 = 720 -> K=5,D=1,J=0,H=2,A=7,G=8,C=4
  R100: 52 * 7 = 364 -> K=7,D=0,J=4,H=6,A=3,G=2,C=5
  R101: 52 * 8 = 416 -> K=8,D=0,J=6,H=1,A=4,G=2,C=5
  R102: 52 * 9 = 468 -> K=9,D=0,J=8,H=6,A=4,G=2,C=5
  R103: 52 * 18 = 936 -> K=8,D=1,J=6,H=3,A=9,G=2,C=5
  R104: 54 * 3 = 162 -> K=3,D=0,J=2,H=6,A=1,G=4,C=5
  R105: 54 * 13 = 702 -> K=3,D=1,J=2,H=0,A=7,G=4,C=5
  R106: 54 * 18 = 972 -> K=8,D=1,J=2,H=7,A=9,G=4,C=5
  R107: 56 * 7 = 392 -> K=7,D=0,J=2,H=9,A=3,G=6,C=5
  R108: 56 * 13 = 728 -> K=3,D=1,J=8,H=2,A=7,G=6,C=5
  R109: 57 * 6 = 342 -> K=6,D=0,J=2,H=4,A=3,G=7,C=5
  R110: 57 * 12 = 684 -> K=2,D=1,J=4,H=8,A=6,G=7,C=5
  R111: 58 * 3 = 174 -> K=3,D=0,J=4,H=7,A=1,G=8,C=5
  R112: 59 * 4 = 236 -> K=4,D=0,J=6,H=3,A=2,G=9,C=5
  R113: 59 * 7 = 413 -> K=7,D=0,J=3,H=1,A=4,G=9,C=5
  R114: 59 * 8 = 472 -> K=8,D=0,J=2,H=7,A=4,G=9,C=5
  R115: 59 * 12 = 708 -> K=2,D=1,J=8,H=0,A=7,G=9,C=5
  R116: 59 * 14 = 826 -> K=4,D=1,J=6,H=2,A=8,G=9,C=5
  R117: 62 * 15 = 930 -> K=5,D=1,J=0,H=3,A=9,G=2,C=6
  R118: 64 * 3 = 192 -> K=3,D=0,J=2,H=9,A=1,G=4,C=6
  R119: 64 * 8 = 512 -> K=8,D=0,J=2,H=1,A=5,G=4,C=6
  R120: 65 * 12 = 780 -> K=2,D=1,J=0,H=8,A=7,G=5,C=6
  R121: 67 * 2 = 134 -> K=2,D=0,J=4,H=3,A=1,G=7,C=6
  R122: 67 * 12 = 804 -> K=2,D=1,J=4,H=0,A=8,G=7,C=6
  R123: 67 * 14 = 938 -> K=4,D=1,J=8,H=3,A=9,G=7,C=6
  R124: 68 * 14 = 952 -> K=4,D=1,J=2,H=5,A=9,G=8,C=6
  R125: 69 * 2 = 138 -> K=2,D=0,J=8,H=3,A=1,G=9,C=6
  R126: 69 * 7 = 483 -> K=7,D=0,J=3,H=8,A=4,G=9,C=6
  R127: 72 * 9 = 648 -> K=9,D=0,J=8,H=4,A=6,G=2,C=7
  R128: 73 * 2 = 146 -> K=2,D=0,J=6,H=4,A=1,G=3,C=7
  R129: 74 * 8 = 592 -> K=8,D=0,J=2,H=9,A=5,G=4,C=7
  R130: 74 * 13 = 962 -> K=3,D=1,J=2,H=6,A=9,G=4,C=7
  R131: 78 * 2 = 156 -> K=2,D=0,J=6,H=5,A=1,G=8,C=7
  R132: 78 * 4 = 312 -> K=4,D=0,J=2,H=1,A=3,G=8,C=7
  R133: 78 * 12 = 936 -> K=2,D=1,J=6,H=3,A=9,G=8,C=7
  R134: 79 * 2 = 158 -> K=2,D=0,J=8,H=5,A=1,G=9,C=7
  R135: 79 * 4 = 316 -> K=4,D=0,J=6,H=1,A=3,G=9,C=7
  R136: 79 * 8 = 632 -> K=8,D=0,J=2,H=3,A=6,G=9,C=7
  R137: 84 * 9 = 756 -> K=9,D=0,J=6,H=5,A=7,G=4,C=8
  R138: 87 * 3 = 261 -> K=3,D=0,J=1,H=6,A=2,G=7,C=8
  R139: 89 * 3 = 267 -> K=3,D=0,J=7,H=6,A=2,G=9,C=8
  R140: 89 * 4 = 356 -> K=4,D=0,J=6,H=5,A=3,G=9,C=8
  R141: 89 * 6 = 534 -> K=6,D=0,J=4,H=3,A=5,G=9,C=8
  R142: 89 * 7 = 623 -> K=7,D=0,J=3,H=2,A=6,G=9,C=8
  R143: 92 * 4 = 368 -> K=4,D=0,J=8,H=6,A=3,G=2,C=9
  R144: 92 * 8 = 736 -> K=8,D=0,J=6,H=3,A=7,G=2,C=9
  R145: 93 * 2 = 186 -> K=2,D=0,J=6,H=8,A=1,G=3,C=9
  R146: 93 * 7 = 651 -> K=7,D=0,J=1,H=5,A=6,G=3,C=9
  R147: 94 * 7 = 658 -> K=7,D=0,J=8,H=5,A=6,G=4,C=9
  R148: 94 * 8 = 752 -> K=8,D=0,J=2,H=5,A=7,G=4,C=9
  R149: 97 * 6 = 582 -> K=6,D=0,J=2,H=8,A=5,G=7,C=9
  R150: 2 * 67 + 1 = 135 -> K=7,D=6,J=5,H=3,A=1,G=2,C=0
  R151: 2 * 68 + 1 = 137 -> K=8,D=6,J=7,H=3,A=1,G=2,C=0
  R152: 2 * 76 + 1 = 153 -> K=6,D=7,J=3,H=5,A=1,G=2,C=0
  R153: 2 * 83 + 1 = 167 -> K=3,D=8,J=7,H=6,A=1,G=2,C=0
  R154: 2 * 84 + 1 = 169 -> K=4,D=8,J=9,H=6,A=1,G=2,C=0
  R155: 2 * 86 + 1 = 173 -> K=6,D=8,J=3,H=7,A=1,G=2,C=0
  R156: 2 * 93 + 1 = 187 -> K=3,D=9,J=7,H=8,A=1,G=2,C=0
  R157: 3 * 59 + 1 = 178 -> K=9,D=5,J=8,H=7,A=1,G=3,C=0
  R158: 3 * 62 + 1 = 187 -> K=2,D=6,J=7,H=8,A=1,G=3,C=0
  R159: 3 * 86 + 1 = 259 -> K=6,D=8,J=9,H=5,A=2,G=3,C=0
  R160: 3 * 91 + 1 = 274 -> K=1,D=9,J=4,H=7,A=2,G=3,C=0
  R161: 3 * 95 + 1 = 286 -> K=5,D=9,J=6,H=8,A=2,G=3,C=0
  R162: 4 * 39 + 1 = 157 -> K=9,D=3,J=7,H=5,A=1,G=4,C=0
  R163: 4 * 59 + 1 = 237 -> K=9,D=5,J=7,H=3,A=2,G=4,C=0
  R164: 4 * 68 + 1 = 273 -> K=8,D=6,J=3,H=7,A=2,G=4,C=0
  R165: 4 * 71 + 1 = 285 -> K=1,D=7,J=5,H=8,A=2,G=4,C=0
  R166: 4 * 81 + 1 = 325 -> K=1,D=8,J=5,H=2,A=3,G=4,C=0
  R167: 4 * 89 + 1 = 357 -> K=9,D=8,J=7,H=5,A=3,G=4,C=0
  R168: 4 * 91 + 1 = 365 -> K=1,D=9,J=5,H=6,A=3,G=4,C=0
  R169: 4 * 95 + 1 = 381 -> K=5,D=9,J=1,H=8,A=3,G=4,C=0
  R170: 4 * 96 + 1 = 385 -> K=6,D=9,J=5,H=8,A=3,G=4,C=0
  R171: 5 * 27 + 1 = 136 -> K=7,D=2,J=6,H=3,A=1,G=5,C=0
  R172: 5 * 29 + 1 = 146 -> K=9,D=2,J=6,H=4,A=1,G=5,C=0
  R173: 5 * 37 + 1 = 186 -> K=7,D=3,J=6,H=8,A=1,G=5,C=0
  R174: 5 * 43 + 1 = 216 -> K=3,D=4,J=6,H=1,A=2,G=5,C=0
  R175: 5 * 46 + 1 = 231 -> K=6,D=4,J=1,H=3,A=2,G=5,C=0
  R176: 5 * 47 + 1 = 236 -> K=7,D=4,J=6,H=3,A=2,G=5,C=0
  R177: 5 * 64 + 1 = 321 -> K=4,D=6,J=1,H=2,A=3,G=5,C=0
  R178: 5 * 68 + 1 = 341 -> K=8,D=6,J=1,H=4,A=3,G=5,C=0
  R179: 5 * 72 + 1 = 361 -> K=2,D=7,J=1,H=6,A=3,G=5,C=0
  R180: 5 * 76 + 1 = 381 -> K=6,D=7,J=1,H=8,A=3,G=5,C=0
  R181: 5 * 78 + 1 = 391 -> K=8,D=7,J=1,H=9,A=3,G=5,C=0
  R182: 5 * 83 + 1 = 416 -> K=3,D=8,J=6,H=1,A=4,G=5,C=0
  R183: 5 * 86 + 1 = 431 -> K=6,D=8,J=1,H=3,A=4,G=5,C=0
  R184: 5 * 87 + 1 = 436 -> K=7,D=8,J=6,H=3,A=4,G=5,C=0
  R185: 5 * 92 + 1 = 461 -> K=2,D=9,J=1,H=6,A=4,G=5,C=0
  R186: 5 * 96 + 1 = 481 -> K=6,D=9,J=1,H=8,A=4,G=5,C=0
  R187: 5 * 97 + 1 = 486 -> K=7,D=9,J=6,H=8,A=4,G=5,C=0
  R188: 6 * 29 + 1 = 175 -> K=9,D=2,J=5,H=7,A=1,G=6,C=0
  R189: 6 * 43 + 1 = 259 -> K=3,D=4,J=9,H=5,A=2,G=6,C=0
  R190: 6 * 45 + 1 = 271 -> K=5,D=4,J=1,H=7,A=2,G=6,C=0
  R191: 6 * 47 + 1 = 283 -> K=7,D=4,J=3,H=8,A=2,G=6,C=0
  R192: 6 * 58 + 1 = 349 -> K=8,D=5,J=9,H=4,A=3,G=6,C=0
  R193: 6 * 82 + 1 = 493 -> K=2,D=8,J=3,H=9,A=4,G=6,C=0
  R194: 6 * 87 + 1 = 523 -> K=7,D=8,J=3,H=2,A=5,G=6,C=0
  R195: 6 * 91 + 1 = 547 -> K=1,D=9,J=7,H=4,A=5,G=6,C=0
  R196: 6 * 97 + 1 = 583 -> K=7,D=9,J=3,H=8,A=5,G=6,C=0
  R197: 7 * 24 + 1 = 169 -> K=4,D=2,J=9,H=6,A=1,G=7,C=0
  R198: 7 * 26 + 1 = 183 -> K=6,D=2,J=3,H=8,A=1,G=7,C=0
  R199: 7 * 35 + 1 = 246 -> K=5,D=3,J=6,H=4,A=2,G=7,C=0
  R200: 7 * 45 + 1 = 316 -> K=5,D=4,J=6,H=1,A=3,G=7,C=0
  R201: 7 * 61 + 1 = 428 -> K=1,D=6,J=8,H=2,A=4,G=7,C=0
  R202: 7 * 62 + 1 = 435 -> K=2,D=6,J=5,H=3,A=4,G=7,C=0
  R203: 7 * 89 + 1 = 624 -> K=9,D=8,J=4,H=2,A=6,G=7,C=0
  R204: 7 * 91 + 1 = 638 -> K=1,D=9,J=8,H=3,A=6,G=7,C=0
  R205: 7 * 92 + 1 = 645 -> K=2,D=9,J=5,H=4,A=6,G=7,C=0
  R206: 7 * 93 + 1 = 652 -> K=3,D=9,J=2,H=5,A=6,G=7,C=0
  R207: 8 * 24 + 1 = 193 -> K=4,D=2,J=3,H=9,A=1,G=8,C=0
  R208: 8 * 31 + 1 = 249 -> K=1,D=3,J=9,H=4,A=2,G=8,C=0
  R209: 8 * 41 + 1 = 329 -> K=1,D=4,J=9,H=2,A=3,G=8,C=0
  R210: 8 * 45 + 1 = 361 -> K=5,D=4,J=1,H=6,A=3,G=8,C=0
  R211: 8 * 52 + 1 = 417 -> K=2,D=5,J=7,H=1,A=4,G=8,C=0
  R212: 8 * 59 + 1 = 473 -> K=9,D=5,J=3,H=7,A=4,G=8,C=0
  R213: 8 * 62 + 1 = 497 -> K=2,D=6,J=7,H=9,A=4,G=8,C=0
  R214: 8 * 64 + 1 = 513 -> K=4,D=6,J=3,H=1,A=5,G=8,C=0
  R215: 8 * 71 + 1 = 569 -> K=1,D=7,J=9,H=6,A=5,G=8,C=0
  R216: 8 * 74 + 1 = 593 -> K=4,D=7,J=3,H=9,A=5,G=8,C=0
  R217: 8 * 93 + 1 = 745 -> K=3,D=9,J=5,H=4,A=7,G=8,C=0
  R218: 8 * 94 + 1 = 753 -> K=4,D=9,J=3,H=5,A=7,G=8,C=0
  R219: 8 * 95 + 1 = 761 -> K=5,D=9,J=1,H=6,A=7,G=8,C=0
  R220: 9 * 53 + 1 = 478 -> K=3,D=5,J=8,H=7,A=4,G=9,C=0
  R221: 9 * 73 + 1 = 658 -> K=3,D=7,J=8,H=5,A=6,G=9,C=0
  R222: 12 * 38 + 1 = 457 -> K=8,D=3,J=7,H=5,A=4,G=2,C=1
  R223: 12 * 58 + 1 = 697 -> K=8,D=5,J=7,H=9,A=6,G=2,C=1
  R224: 12 * 67 + 1 = 805 -> K=7,D=6,J=5,H=0,A=8,G=2,C=1
  R225: 13 * 48 + 1 = 625 -> K=8,D=4,J=5,H=2,A=6,G=3,C=1
  R226: 13 * 56 + 1 = 729 -> K=6,D=5,J=9,H=2,A=7,G=3,C=1
  R227: 13 * 59 + 1 = 768 -> K=9,D=5,J=8,H=6,A=7,G=3,C=1
  R228: 13 * 62 + 1 = 807 -> K=2,D=6,J=7,H=0,A=8,G=3,C=1
  R229: 14 * 59 + 1 = 827 -> K=9,D=5,J=7,H=2,A=8,G=4,C=1
  R230: 14 * 68 + 1 = 953 -> K=8,D=6,J=3,H=5,A=9,G=4,C=1
  R231: 15 * 27 + 1 = 406 -> K=7,D=2,J=6,H=0,A=4,G=5,C=1
  R232: 15 * 29 + 1 = 436 -> K=9,D=2,J=6,H=3,A=4,G=5,C=1
  R233: 15 * 49 + 1 = 736 -> K=9,D=4,J=6,H=3,A=7,G=5,C=1
  R234: 16 * 24 + 1 = 385 -> K=4,D=2,J=5,H=8,A=3,G=6,C=1
  R235: 16 * 49 + 1 = 785 -> K=9,D=4,J=5,H=8,A=7,G=6,C=1
  R236: 16 * 53 + 1 = 849 -> K=3,D=5,J=9,H=4,A=8,G=6,C=1
  R237: 17 * 53 + 1 = 902 -> K=3,D=5,J=2,H=0,A=9,G=7,C=1
  R238: 18 * 52 + 1 = 937 -> K=2,D=5,J=7,H=3,A=9,G=8,C=1
  R239: 18 * 54 + 1 = 973 -> K=4,D=5,J=3,H=7,A=9,G=8,C=1
  R240: 19 * 25 + 1 = 476 -> K=5,D=2,J=6,H=7,A=4,G=9,C=1
  R241: 19 * 46 + 1 = 875 -> K=6,D=4,J=5,H=7,A=8,G=9,C=1
  R242: 20 * 34 + 1 = 681 -> K=4,D=3,J=1,H=8,A=6,G=0,C=2
  R243: 20 * 38 + 1 = 761 -> K=8,D=3,J=1,H=6,A=7,G=0,C=2
  R244: 20 * 39 + 1 = 781 -> K=9,D=3,J=1,H=8,A=7,G=0,C=2
  R245: 20 * 43 + 1 = 861 -> K=3,D=4,J=1,H=6,A=8,G=0,C=2
  R246: 20 * 48 + 1 = 961 -> K=8,D=4,J=1,H=6,A=9,G=0,C=2
  R247: 24 * 7 + 1 = 169 -> K=7,D=0,J=9,H=6,A=1,G=4,C=2
  R248: 24 * 8 + 1 = 193 -> K=8,D=0,J=3,H=9,A=1,G=4,C=2
  R249: 24 * 16 + 1 = 385 -> K=6,D=1,J=5,H=8,A=3,G=4,C=2
  R250: 25 * 19 + 1 = 476 -> K=9,D=1,J=6,H=7,A=4,G=5,C=2
  R251: 25 * 36 + 1 = 901 -> K=6,D=3,J=1,H=0,A=9,G=5,C=2
  R252: 26 * 7 + 1 = 183 -> K=7,D=0,J=3,H=8,A=1,G=6,C=2
  R253: 26 * 30 + 1 = 781 -> K=0,D=3,J=1,H=8,A=7,G=6,C=2
  R254: 26 * 31 + 1 = 807 -> K=1,D=3,J=7,H=0,A=8,G=6,C=2
  R255: 27 * 5 + 1 = 136 -> K=5,D=0,J=6,H=3,A=1,G=7,C=2
  R256: 27 * 15 + 1 = 406 -> K=5,D=1,J=6,H=0,A=4,G=7,C=2
  R257: 27 * 35 + 1 = 946 -> K=5,D=3,J=6,H=4,A=9,G=7,C=2
  R258: 29 * 5 + 1 = 146 -> K=5,D=0,J=6,H=4,A=1,G=9,C=2
  R259: 29 * 6 + 1 = 175 -> K=6,D=0,J=5,H=7,A=1,G=9,C=2
  R260: 29 * 15 + 1 = 436 -> K=5,D=1,J=6,H=3,A=4,G=9,C=2
  R261: 29 * 30 + 1 = 871 -> K=0,D=3,J=1,H=7,A=8,G=9,C=2
  R262: 30 * 26 + 1 = 781 -> K=6,D=2,J=1,H=8,A=7,G=0,C=3
  R263: 30 * 29 + 1 = 871 -> K=9,D=2,J=1,H=7,A=8,G=0,C=3
  R264: 31 * 8 + 1 = 249 -> K=8,D=0,J=9,H=4,A=2,G=1,C=3
  R265: 31 * 26 + 1 = 807 -> K=6,D=2,J=7,H=0,A=8,G=1,C=3
  R266: 34 * 20 + 1 = 681 -> K=0,D=2,J=1,H=8,A=6,G=4,C=3
  R267: 35 * 7 + 1 = 246 -> K=7,D=0,J=6,H=4,A=2,G=5,C=3
  R268: 35 * 27 + 1 = 946 -> K=7,D=2,J=6,H=4,A=9,G=5,C=3
  R269: 36 * 25 + 1 = 901 -> K=5,D=2,J=1,H=0,A=9,G=6,C=3
  R270: 37 * 5 + 1 = 186 -> K=5,D=0,J=6,H=8,A=1,G=7,C=3
  R271: 38 * 12 + 1 = 457 -> K=2,D=1,J=7,H=5,A=4,G=8,C=3
  R272: 38 * 20 + 1 = 761 -> K=0,D=2,J=1,H=6,A=7,G=8,C=3
  R273: 39 * 4 + 1 = 157 -> K=4,D=0,J=7,H=5,A=1,G=9,C=3
  R274: 39 * 20 + 1 = 781 -> K=0,D=2,J=1,H=8,A=7,G=9,C=3
  R275: 41 * 8 + 1 = 329 -> K=8,D=0,J=9,H=2,A=3,G=1,C=4
  R276: 43 * 5 + 1 = 216 -> K=5,D=0,J=6,H=1,A=2,G=3,C=4
  R277: 43 * 6 + 1 = 259 -> K=6,D=0,J=9,H=5,A=2,G=3,C=4
  R278: 43 * 20 + 1 = 861 -> K=0,D=2,J=1,H=6,A=8,G=3,C=4
  R279: 45 * 6 + 1 = 271 -> K=6,D=0,J=1,H=7,A=2,G=5,C=4
  R280: 45 * 7 + 1 = 316 -> K=7,D=0,J=6,H=1,A=3,G=5,C=4
  R281: 45 * 8 + 1 = 361 -> K=8,D=0,J=1,H=6,A=3,G=5,C=4
  R282: 46 * 5 + 1 = 231 -> K=5,D=0,J=1,H=3,A=2,G=6,C=4
