We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 []}*\(] = [\(]}]: AB * CD = CDAB  (r.len=4, sym=['A', 'B', 'C', 'D'], |sym|=4)
fact1 [']+''] = [}&]: EA + EE = BF  (r.len=2, sym=['A', 'B', 'E', 'F'], |sym|=4)
fact2 [[\*]]] = []][\]: GC * AA = AAGC  (r.len=4, sym=['A', 'C', 'G'], |sym|=3)
  R158: concat(86,03) = 8603 -> D=6,C=8,A=0,B=3
  R159: concat(87,03) = 8703 -> D=7,C=8,A=0,B=3
  R160: concat(89,03) = 8903 -> D=9,C=8,A=0,B=3
  R161: concat(91,03) = 9103 -> D=1,C=9,A=0,B=3
  R162: concat(92,03) = 9203 -> D=2,C=9,A=0,B=3
  R163: concat(94,03) = 9403 -> D=4,C=9,A=0,B=3
  R164: concat(95,03) = 9503 -> D=5,C=9,A=0,B=3
  R165: concat(96,03) = 9603 -> D=6,C=9,A=0,B=3
  R166: concat(97,03) = 9703 -> D=7,C=9,A=0,B=3
  R167: concat(98,03) = 9803 -> D=8,C=9,A=0,B=3
  R168: concat(12,04) = 1204 -> D=2,C=1,A=0,B=4
  R169: concat(13,04) = 1304 -> D=3,C=1,A=0,B=4
  R170: concat(15,04) = 1504 -> D=5,C=1,A=0,B=4
  R171: concat(16,04) = 1604 -> D=6,C=1,A=0,B=4
  R172: concat(17,04) = 1704 -> D=7,C=1,A=0,B=4
  R173: concat(18,04) = 1804 -> D=8,C=1,A=0,B=4
  R174: concat(19,04) = 1904 -> D=9,C=1,A=0,B=4
  R175: concat(21,04) = 2104 -> D=1,C=2,A=0,B=4
  R176: concat(23,04) = 2304 -> D=3,C=2,A=0,B=4
  R177: concat(25,04) = 2504 -> D=5,C=2,A=0,B=4
  R178: concat(26,04) = 2604 -> D=6,C=2,A=0,B=4
  R179: concat(27,04) = 2704 -> D=7,C=2,A=0,B=4
  R180: concat(28,04) = 2804 -> D=8,C=2,A=0,B=4
  R181: concat(29,04) = 2904 -> D=9,C=2,A=0,B=4
  R182: concat(31,04) = 3104 -> D=1,C=3,A=0,B=4
  R183: concat(32,04) = 3204 -> D=2,C=3,A=0,B=4
  R184: concat(35,04) = 3504 -> D=5,C=3,A=0,B=4
  R185: concat(36,04) = 3604 -> D=6,C=3,A=0,B=4
  R186: concat(37,04) = 3704 -> D=7,C=3,A=0,B=4
  R187: concat(38,04) = 3804 -> D=8,C=3,A=0,B=4
  R188: concat(39,04) = 3904 -> D=9,C=3,A=0,B=4
  R189: concat(51,04) = 5104 -> D=1,C=5,A=0,B=4
  R190: concat(52,04) = 5204 -> D=2,C=5,A=0,B=4
  R191: concat(53,04) = 5304 -> D=3,C=5,A=0,B=4
  R192: concat(56,04) = 5604 -> D=6,C=5,A=0,B=4
  R193: concat(57,04) = 5704 -> D=7,C=5,A=0,B=4
  R194: concat(58,04) = 5804 -> D=8,C=5,A=0,B=4
  R195: concat(59,04) = 5904 -> D=9,C=5,A=0,B=4
  R196: concat(61,04) = 6104 -> D=1,C=6,A=0,B=4
  R197: concat(62,04) = 6204 -> D=2,C=6,A=0,B=4
  R198: concat(63,04) = 6304 -> D=3,C=6,A=0,B=4
  R199: concat(65,04) = 6504 -> D=5,C=6,A=0,B=4
  R200: concat(67,04) = 6704 -> D=7,C=6,A=0,B=4
  R201: concat(68,04) = 6804 -> D=8,C=6,A=0,B=4
  R202: concat(69,04) = 6904 -> D=9,C=6,A=0,B=4
  R203: concat(71,04) = 7104 -> D=1,C=7,A=0,B=4
  R204: concat(72,04) = 7204 -> D=2,C=7,A=0,B=4
  R205: concat(73,04) = 7304 -> D=3,C=7,A=0,B=4
  R206: concat(75,04) = 7504 -> D=5,C=7,A=0,B=4
  R207: concat(76,04) = 7604 -> D=6,C=7,A=0,B=4
  R208: concat(78,04) = 7804 -> D=8,C=7,A=0,B=4
  R209: concat(79,04) = 7904 -> D=9,C=7,A=0,B=4
  R210: concat(81,04) = 8104 -> D=1,C=8,A=0,B=4
  R211: concat(82,04) = 8204 -> D=2,C=8,A=0,B=4
  R212: concat(83,04) = 8304 -> D=3,C=8,A=0,B=4
  R213: concat(85,04) = 8504 -> D=5,C=8,A=0,B=4
  R214: concat(86,04) = 8604 -> D=6,C=8,A=0,B=4
  R215: concat(87,04) = 8704 -> D=7,C=8,A=0,B=4
  R216: concat(89,04) = 8904 -> D=9,C=8,A=0,B=4
  R217: concat(91,04) = 9104 -> D=1,C=9,A=0,B=4
  R218: concat(92,04) = 9204 -> D=2,C=9,A=0,B=4
  R219: concat(93,04) = 9304 -> D=3,C=9,A=0,B=4
  R220: concat(95,04) = 9504 -> D=5,C=9,A=0,B=4
  R221: concat(96,04) = 9604 -> D=6,C=9,A=0,B=4
  R222: concat(97,04) = 9704 -> D=7,C=9,A=0,B=4
  R223: concat(98,04) = 9804 -> D=8,C=9,A=0,B=4
  R224: concat(12,05) = 1205 -> D=2,C=1,A=0,B=5
  R225: concat(13,05) = 1305 -> D=3,C=1,A=0,B=5
  R226: concat(14,05) = 1405 -> D=4,C=1,A=0,B=5
  R227: concat(16,05) = 1605 -> D=6,C=1,A=0,B=5
  R228: concat(17,05) = 1705 -> D=7,C=1,A=0,B=5
  R229: concat(18,05) = 1805 -> D=8,C=1,A=0,B=5
  R230: concat(19,05) = 1905 -> D=9,C=1,A=0,B=5
  R231: concat(21,05) = 2105 -> D=1,C=2,A=0,B=5
  R232: concat(23,05) = 2305 -> D=3,C=2,A=0,B=5
  R233: concat(24,05) = 2405 -> D=4,C=2,A=0,B=5
  R234: concat(26,05) = 2605 -> D=6,C=2,A=0,B=5
  R235: concat(27,05) = 2705 -> D=7,C=2,A=0,B=5
  R236: concat(28,05) = 2805 -> D=8,C=2,A=0,B=5
  R237: concat(29,05) = 2905 -> D=9,C=2,A=0,B=5
  R238: concat(31,05) = 3105 -> D=1,C=3,A=0,B=5
  R239: concat(32,05) = 3205 -> D=2,C=3,A=0,B=5
  R240: concat(34,05) = 3405 -> D=4,C=3,A=0,B=5
  R241: concat(36,05) = 3605 -> D=6,C=3,A=0,B=5
  R242: concat(37,05) = 3705 -> D=7,C=3,A=0,B=5
  R243: concat(38,05) = 3805 -> D=8,C=3,A=0,B=5
  R244: concat(39,05) = 3905 -> D=9,C=3,A=0,B=5
  R245: concat(41,05) = 4105 -> D=1,C=4,A=0,B=5
  R246: concat(42,05) = 4205 -> D=2,C=4,A=0,B=5
  R247: concat(43,05) = 4305 -> D=3,C=4,A=0,B=5
  R248: concat(46,05) = 4605 -> D=6,C=4,A=0,B=5
  R249: concat(47,05) = 4705 -> D=7,C=4,A=0,B=5
  R250: concat(48,05) = 4805 -> D=8,C=4,A=0,B=5
  R251: concat(49,05) = 4905 -> D=9,C=4,A=0,B=5
  R252: concat(61,05) = 6105 -> D=1,C=6,A=0,B=5
  R253: concat(62,05) = 6205 -> D=2,C=6,A=0,B=5
  R254: concat(63,05) = 6305 -> D=3,C=6,A=0,B=5
  R255: concat(64,05) = 6405 -> D=4,C=6,A=0,B=5
  R256: concat(67,05) = 6705 -> D=7,C=6,A=0,B=5
  R257: concat(68,05) = 6805 -> D=8,C=6,A=0,B=5
  R258: concat(69,05) = 6905 -> D=9,C=6,A=0,B=5
  R259: concat(71,05) = 7105 -> D=1,C=7,A=0,B=5
  R260: concat(72,05) = 7205 -> D=2,C=7,A=0,B=5
  R261: concat(73,05) = 7305 -> D=3,C=7,A=0,B=5
  R262: concat(74,05) = 7405 -> D=4,C=7,A=0,B=5
  R263: concat(76,05) = 7605 -> D=6,C=7,A=0,B=5
  R264: concat(78,05) = 7805 -> D=8,C=7,A=0,B=5
  R265: concat(79,05) = 7905 -> D=9,C=7,A=0,B=5
  R266: concat(81,05) = 8105 -> D=1,C=8,A=0,B=5
  R267: concat(82,05) = 8205 -> D=2,C=8,A=0,B=5
  R268: concat(83,05) = 8305 -> D=3,C=8,A=0,B=5
  R269: concat(84,05) = 8405 -> D=4,C=8,A=0,B=5
  R270: concat(86,05) = 8605 -> D=6,C=8,A=0,B=5
  R271: concat(87,05) = 8705 -> D=7,C=8,A=0,B=5
  R272: concat(89,05) = 8905 -> D=9,C=8,A=0,B=5
  R273: concat(91,05) = 9105 -> D=1,C=9,A=0,B=5
  R274: concat(92,05) = 9205 -> D=2,C=9,A=0,B=5
  R275: concat(93,05) = 9305 -> D=3,C=9,A=0,B=5
  R276: concat(94,05) = 9405 -> D=4,C=9,A=0,B=5
  R277: concat(96,05) = 9605 -> D=6,C=9,A=0,B=5
  R278: concat(97,05) = 9705 -> D=7,C=9,A=0,B=5
  R279: concat(98,05) = 9805 -> D=8,C=9,A=0,B=5
  R280: concat(12,06) = 1206 -> D=2,C=1,A=0,B=6
  R281: concat(13,06) = 1306 -> D=3,C=1,A=0,B=6
  R282: concat(14,06) = 1406 -> D=4,C=1,A=0,B=6
  R283: concat(15,06) = 1506 -> D=5,C=1,A=0,B=6
  R284: concat(17,06) = 1706 -> D=7,C=1,A=0,B=6
  R285: concat(18,06) = 1806 -> D=8,C=1,A=0,B=6
  R286: concat(19,06) = 1906 -> D=9,C=1,A=0,B=6
  R287: concat(21,06) = 2106 -> D=1,C=2,A=0,B=6
  R288: concat(23,06) = 2306 -> D=3,C=2,A=0,B=6
  R289: concat(24,06) = 2406 -> D=4,C=2,A=0,B=6
  R290: concat(25,06) = 2506 -> D=5,C=2,A=0,B=6
  R291: concat(27,06) = 2706 -> D=7,C=2,A=0,B=6
  R292: concat(28,06) = 2806 -> D=8,C=2,A=0,B=6
  R293: concat(29,06) = 2906 -> D=9,C=2,A=0,B=6
  R294: concat(31,06) = 3106 -> D=1,C=3,A=0,B=6
  R295: concat(32,06) = 3206 -> D=2,C=3,A=0,B=6
  R296: concat(34,06) = 3406 -> D=4,C=3,A=0,B=6
  R297: concat(35,06) = 3506 -> D=5,C=3,A=0,B=6
  R298: concat(37,06) = 3706 -> D=7,C=3,A=0,B=6
  R299: concat(38,06) = 3806 -> D=8,C=3,A=0,B=6
  R300: concat(39,06) = 3906 -> D=9,C=3,A=0,B=6
  R301: concat(41,06) = 4106 -> D=1,C=4,A=0,B=6
  R302: concat(42,06) = 4206 -> D=2,C=4,A=0,B=6
  R303: concat(43,06) = 4306 -> D=3,C=4,A=0,B=6
  R304: concat(45,06) = 4506 -> D=5,C=4,A=0,B=6
  R305: concat(47,06) = 4706 -> D=7,C=4,A=0,B=6
  R306: concat(48,06) = 4806 -> D=8,C=4,A=0,B=6
  R307: concat(49,06) = 4906 -> D=9,C=4,A=0,B=6
  R308: concat(51,06) = 5106 -> D=1,C=5,A=0,B=6
  R309: concat(52,06) = 5206 -> D=2,C=5,A=0,B=6
  R310: concat(53,06) = 5306 -> D=3,C=5,A=0,B=6
  R311: concat(54,06) = 5406 -> D=4,C=5,A=0,B=6
  R312: concat(57,06) = 5706 -> D=7,C=5,A=0,B=6
  R313: concat(58,06) = 5806 -> D=8,C=5,A=0,B=6
  R314: concat(59,06) = 5906 -> D=9,C=5,A=0,B=6
  R315: concat(71,06) = 7106 -> D=1,C=7,A=0,B=6
  R316: concat(72,06) = 7206 -> D=2,C=7,A=0,B=6
  R317: concat(73,06) = 7306 -> D=3,C=7,A=0,B=6
  R318: concat(74,06) = 7406 -> D=4,C=7,A=0,B=6
  R319: concat(75,06) = 7506 -> D=5,C=7,A=0,B=6
  R320: concat(78,06) = 7806 -> D=8,C=7,A=0,B=6
  R321: concat(79,06) = 7906 -> D=9,C=7,A=0,B=6
  R322: concat(81,06) = 8106 -> D=1,C=8,A=0,B=6
  R323: concat(82,06) = 8206 -> D=2,C=8,A=0,B=6
  R324: concat(83,06) = 8306 -> D=3,C=8,A=0,B=6
  R325: concat(84,06) = 8406 -> D=4,C=8,A=0,B=6
  R326: concat(85,06) = 8506 -> D=5,C=8,A=0,B=6
  R327: concat(87,06) = 8706 -> D=7,C=8,A=0,B=6
  R328: concat(89,06) = 8906 -> D=9,C=8,A=0,B=6
  R329: concat(91,06) = 9106 -> D=1,C=9,A=0,B=6
  R330: concat(92,06) = 9206 -> D=2,C=9,A=0,B=6
  R331: concat(93,06) = 9306 -> D=3,C=9,A=0,B=6
  R332: concat(94,06) = 9406 -> D=4,C=9,A=0,B=6
  R333: concat(95,06) = 9506 -> D=5,C=9,A=0,B=6
  R334: concat(97,06) = 9706 -> D=7,C=9,A=0,B=6
  R335: concat(98,06) = 9806 -> D=8,C=9,A=0,B=6
  R336: concat(12,07) = 1207 -> D=2,C=1,A=0,B=7
  R337: concat(13,07) = 1307 -> D=3,C=1,A=0,B=7
  R338: concat(14,07) = 1407 -> D=4,C=1,A=0,B=7
  R339: concat(15,07) = 1507 -> D=5,C=1,A=0,B=7
  R340: concat(16,07) = 1607 -> D=6,C=1,A=0,B=7
  R341: concat(18,07) = 1807 -> D=8,C=1,A=0,B=7
  R342: concat(19,07) = 1907 -> D=9,C=1,A=0,B=7
  R343: concat(21,07) = 2107 -> D=1,C=2,A=0,B=7
  R344: concat(23,07) = 2307 -> D=3,C=2,A=0,B=7
  R345: concat(24,07) = 2407 -> D=4,C=2,A=0,B=7
  R346: concat(25,07) = 2507 -> D=5,C=2,A=0,B=7
  R347: concat(26,07) = 2607 -> D=6,C=2,A=0,B=7
  R348: concat(28,07) = 2807 -> D=8,C=2,A=0,B=7
  R349: concat(29,07) = 2907 -> D=9,C=2,A=0,B=7
  R350: concat(31,07) = 3107 -> D=1,C=3,A=0,B=7
  R351: concat(32,07) = 3207 -> D=2,C=3,A=0,B=7
  R352: concat(34,07) = 3407 -> D=4,C=3,A=0,B=7
  R353: concat(35,07) = 3507 -> D=5,C=3,A=0,B=7
  R354: concat(36,07) = 3607 -> D=6,C=3,A=0,B=7
  R355: concat(38,07) = 3807 -> D=8,C=3,A=0,B=7
  R356: concat(39,07) = 3907 -> D=9,C=3,A=0,B=7
  R357: concat(41,07) = 4107 -> D=1,C=4,A=0,B=7
  R358: concat(42,07) = 4207 -> D=2,C=4,A=0,B=7
  R359: concat(43,07) = 4307 -> D=3,C=4,A=0,B=7
  R360: concat(45,07) = 4507 -> D=5,C=4,A=0,B=7
  R361: concat(46,07) = 4607 -> D=6,C=4,A=0,B=7
  R362: concat(48,07) = 4807 -> D=8,C=4,A=0,B=7
  R363: concat(49,07) = 4907 -> D=9,C=4,A=0,B=7
  R364: concat(51,07) = 5107 -> D=1,C=5,A=0,B=7
  R365: concat(52,07) = 5207 -> D=2,C=5,A=0,B=7
  R366: concat(53,07) = 5307 -> D=3,C=5,A=0,B=7
  R367: concat(54,07) = 5407 -> D=4,C=5,A=0,B=7
  R368: concat(56,07) = 5607 -> D=6,C=5,A=0,B=7
  R369: concat(58,07) = 5807 -> D=8,C=5,A=0,B=7
  R370: concat(59,07) = 5907 -> D=9,C=5,A=0,B=7
  R371: concat(61,07) = 6107 -> D=1,C=6,A=0,B=7
  R372: concat(62,07) = 6207 -> D=2,C=6,A=0,B=7
  R373: concat(63,07) = 6307 -> D=3,C=6,A=0,B=7
  R374: concat(64,07) = 6407 -> D=4,C=6,A=0,B=7
  R375: concat(65,07) = 6507 -> D=5,C=6,A=0,B=7
  R376: concat(68,07) = 6807 -> D=8,C=6,A=0,B=7
  R377: concat(69,07) = 6907 -> D=9,C=6,A=0,B=7
  R378: concat(81,07) = 8107 -> D=1,C=8,A=0,B=7
  R379: concat(82,07) = 8207 -> D=2,C=8,A=0,B=7
  R380: concat(83,07) = 8307 -> D=3,C=8,A=0,B=7
  R381: concat(84,07) = 8407 -> D=4,C=8,A=0,B=7
  R382: concat(85,07) = 8507 -> D=5,C=8,A=0,B=7
  R383: concat(86,07) = 8607 -> D=6,C=8,A=0,B=7
  R384: concat(89,07) = 8907 -> D=9,C=8,A=0,B=7
  R385: concat(91,07) = 9107 -> D=1,C=9,A=0,B=7
  R386: concat(92,07) = 9207 -> D=2,C=9,A=0,B=7
  R387: concat(93,07) = 9307 -> D=3,C=9,A=0,B=7
