We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [>`+'&] = [`{/]: AB + CD = BEF  (r.len=3, sym=['A', 'B', 'C', 'D', 'E', 'F'], |sym|=6)
fact1 [`{-':] = [->>]: BE - CG = -AA  (r.len=2 neg, sym=['A', 'B', 'C', 'E', 'G'], |sym|=5)
fact2 [/^-/^] = [:]: FH - FH = G  (r.len=1, sym=['F', 'G', 'H'], |sym|=3)
  R77: concat(02,51) = 0251 -> J=5,C=1,G=2,A=0
  R78: concat(02,53) = 0253 -> J=5,C=3,G=2,A=0
  R79: concat(02,54) = 0254 -> J=5,C=4,G=2,A=0
  R80: concat(02,56) = 0256 -> J=5,C=6,G=2,A=0
  R81: concat(02,57) = 0257 -> J=5,C=7,G=2,A=0
  R82: concat(02,58) = 0258 -> J=5,C=8,G=2,A=0
  R83: concat(02,59) = 0259 -> J=5,C=9,G=2,A=0
  R84: concat(02,61) = 0261 -> J=6,C=1,G=2,A=0
  R85: concat(02,63) = 0263 -> J=6,C=3,G=2,A=0
  R86: concat(02,64) = 0264 -> J=6,C=4,G=2,A=0
  R87: concat(02,65) = 0265 -> J=6,C=5,G=2,A=0
  R88: concat(02,67) = 0267 -> J=6,C=7,G=2,A=0
  R89: concat(02,68) = 0268 -> J=6,C=8,G=2,A=0
  R90: concat(02,69) = 0269 -> J=6,C=9,G=2,A=0
  R91: concat(02,71) = 0271 -> J=7,C=1,G=2,A=0
  R92: concat(02,73) = 0273 -> J=7,C=3,G=2,A=0
  R93: concat(02,74) = 0274 -> J=7,C=4,G=2,A=0
  R94: concat(02,75) = 0275 -> J=7,C=5,G=2,A=0
  R95: concat(02,76) = 0276 -> J=7,C=6,G=2,A=0
  R96: concat(02,78) = 0278 -> J=7,C=8,G=2,A=0
  R97: concat(02,79) = 0279 -> J=7,C=9,G=2,A=0
  R98: concat(02,81) = 0281 -> J=8,C=1,G=2,A=0
  R99: concat(02,83) = 0283 -> J=8,C=3,G=2,A=0
  R100: concat(02,84) = 0284 -> J=8,C=4,G=2,A=0
  R101: concat(02,85) = 0285 -> J=8,C=5,G=2,A=0
  R102: concat(02,86) = 0286 -> J=8,C=6,G=2,A=0
  R103: concat(02,87) = 0287 -> J=8,C=7,G=2,A=0
  R104: concat(02,89) = 0289 -> J=8,C=9,G=2,A=0
  R105: concat(02,91) = 0291 -> J=9,C=1,G=2,A=0
  R106: concat(02,93) = 0293 -> J=9,C=3,G=2,A=0
  R107: concat(02,94) = 0294 -> J=9,C=4,G=2,A=0
  R108: concat(02,95) = 0295 -> J=9,C=5,G=2,A=0
  R109: concat(02,96) = 0296 -> J=9,C=6,G=2,A=0
  R110: concat(02,97) = 0297 -> J=9,C=7,G=2,A=0
  R111: concat(02,98) = 0298 -> J=9,C=8,G=2,A=0
  R112: concat(03,12) = 0312 -> J=1,C=2,G=3,A=0
  R113: concat(03,14) = 0314 -> J=1,C=4,G=3,A=0
  R114: concat(03,15) = 0315 -> J=1,C=5,G=3,A=0
  R115: concat(03,16) = 0316 -> J=1,C=6,G=3,A=0
  R116: concat(03,17) = 0317 -> J=1,C=7,G=3,A=0
  R117: concat(03,18) = 0318 -> J=1,C=8,G=3,A=0
  R118: concat(03,19) = 0319 -> J=1,C=9,G=3,A=0
  R119: concat(03,21) = 0321 -> J=2,C=1,G=3,A=0
  R120: concat(03,24) = 0324 -> J=2,C=4,G=3,A=0
  R121: concat(03,25) = 0325 -> J=2,C=5,G=3,A=0
  R122: concat(03,26) = 0326 -> J=2,C=6,G=3,A=0
  R123: concat(03,27) = 0327 -> J=2,C=7,G=3,A=0
  R124: concat(03,28) = 0328 -> J=2,C=8,G=3,A=0
  R125: concat(03,29) = 0329 -> J=2,C=9,G=3,A=0
  R126: concat(03,41) = 0341 -> J=4,C=1,G=3,A=0
  R127: concat(03,42) = 0342 -> J=4,C=2,G=3,A=0
  R128: concat(03,45) = 0345 -> J=4,C=5,G=3,A=0
  R129: concat(03,46) = 0346 -> J=4,C=6,G=3,A=0
  R130: concat(03,47) = 0347 -> J=4,C=7,G=3,A=0
  R131: concat(03,48) = 0348 -> J=4,C=8,G=3,A=0
  R132: concat(03,49) = 0349 -> J=4,C=9,G=3,A=0
  R133: concat(03,51) = 0351 -> J=5,C=1,G=3,A=0
  R134: concat(03,52) = 0352 -> J=5,C=2,G=3,A=0
  R135: concat(03,54) = 0354 -> J=5,C=4,G=3,A=0
  R136: concat(03,56) = 0356 -> J=5,C=6,G=3,A=0
  R137: concat(03,57) = 0357 -> J=5,C=7,G=3,A=0
  R138: concat(03,58) = 0358 -> J=5,C=8,G=3,A=0
  R139: concat(03,59) = 0359 -> J=5,C=9,G=3,A=0
  R140: concat(03,61) = 0361 -> J=6,C=1,G=3,A=0
  R141: concat(03,62) = 0362 -> J=6,C=2,G=3,A=0
  R142: concat(03,64) = 0364 -> J=6,C=4,G=3,A=0
  R143: concat(03,65) = 0365 -> J=6,C=5,G=3,A=0
  R144: concat(03,67) = 0367 -> J=6,C=7,G=3,A=0
  R145: concat(03,68) = 0368 -> J=6,C=8,G=3,A=0
  R146: concat(03,69) = 0369 -> J=6,C=9,G=3,A=0
  R147: concat(03,71) = 0371 -> J=7,C=1,G=3,A=0
  R148: concat(03,72) = 0372 -> J=7,C=2,G=3,A=0
  R149: concat(03,74) = 0374 -> J=7,C=4,G=3,A=0
  R150: concat(03,75) = 0375 -> J=7,C=5,G=3,A=0
  R151: concat(03,76) = 0376 -> J=7,C=6,G=3,A=0
  R152: concat(03,78) = 0378 -> J=7,C=8,G=3,A=0
  R153: concat(03,79) = 0379 -> J=7,C=9,G=3,A=0
  R154: concat(03,81) = 0381 -> J=8,C=1,G=3,A=0
  R155: concat(03,82) = 0382 -> J=8,C=2,G=3,A=0
  R156: concat(03,84) = 0384 -> J=8,C=4,G=3,A=0
  R157: concat(03,85) = 0385 -> J=8,C=5,G=3,A=0
  R158: concat(03,86) = 0386 -> J=8,C=6,G=3,A=0
  R159: concat(03,87) = 0387 -> J=8,C=7,G=3,A=0
  R160: concat(03,89) = 0389 -> J=8,C=9,G=3,A=0
  R161: concat(03,91) = 0391 -> J=9,C=1,G=3,A=0
  R162: concat(03,92) = 0392 -> J=9,C=2,G=3,A=0
  R163: concat(03,94) = 0394 -> J=9,C=4,G=3,A=0
  R164: concat(03,95) = 0395 -> J=9,C=5,G=3,A=0
  R165: concat(03,96) = 0396 -> J=9,C=6,G=3,A=0
  R166: concat(03,97) = 0397 -> J=9,C=7,G=3,A=0
  R167: concat(03,98) = 0398 -> J=9,C=8,G=3,A=0
  R168: concat(04,12) = 0412 -> J=1,C=2,G=4,A=0
  R169: concat(04,13) = 0413 -> J=1,C=3,G=4,A=0
  R170: concat(04,15) = 0415 -> J=1,C=5,G=4,A=0
  R171: concat(04,16) = 0416 -> J=1,C=6,G=4,A=0
  R172: concat(04,17) = 0417 -> J=1,C=7,G=4,A=0
  R173: concat(04,18) = 0418 -> J=1,C=8,G=4,A=0
  R174: concat(04,19) = 0419 -> J=1,C=9,G=4,A=0
  R175: concat(04,21) = 0421 -> J=2,C=1,G=4,A=0
  R176: concat(04,23) = 0423 -> J=2,C=3,G=4,A=0
  R177: concat(04,25) = 0425 -> J=2,C=5,G=4,A=0
  R178: concat(04,26) = 0426 -> J=2,C=6,G=4,A=0
  R179: concat(04,27) = 0427 -> J=2,C=7,G=4,A=0
  R180: concat(04,28) = 0428 -> J=2,C=8,G=4,A=0
  R181: concat(04,29) = 0429 -> J=2,C=9,G=4,A=0
  R182: concat(04,31) = 0431 -> J=3,C=1,G=4,A=0
  R183: concat(04,32) = 0432 -> J=3,C=2,G=4,A=0
  R184: concat(04,35) = 0435 -> J=3,C=5,G=4,A=0
  R185: concat(04,36) = 0436 -> J=3,C=6,G=4,A=0
  R186: concat(04,37) = 0437 -> J=3,C=7,G=4,A=0
  R187: concat(04,38) = 0438 -> J=3,C=8,G=4,A=0
  R188: concat(04,39) = 0439 -> J=3,C=9,G=4,A=0
  R189: concat(04,51) = 0451 -> J=5,C=1,G=4,A=0
  R190: concat(04,52) = 0452 -> J=5,C=2,G=4,A=0
  R191: concat(04,53) = 0453 -> J=5,C=3,G=4,A=0
  R192: concat(04,56) = 0456 -> J=5,C=6,G=4,A=0
  R193: concat(04,57) = 0457 -> J=5,C=7,G=4,A=0
  R194: concat(04,58) = 0458 -> J=5,C=8,G=4,A=0
  R195: concat(04,59) = 0459 -> J=5,C=9,G=4,A=0
  R196: concat(04,61) = 0461 -> J=6,C=1,G=4,A=0
  R197: concat(04,62) = 0462 -> J=6,C=2,G=4,A=0
  R198: concat(04,63) = 0463 -> J=6,C=3,G=4,A=0
  R199: concat(04,65) = 0465 -> J=6,C=5,G=4,A=0
  R200: concat(04,67) = 0467 -> J=6,C=7,G=4,A=0
  R201: concat(04,68) = 0468 -> J=6,C=8,G=4,A=0
  R202: concat(04,69) = 0469 -> J=6,C=9,G=4,A=0
  R203: concat(04,71) = 0471 -> J=7,C=1,G=4,A=0
  R204: concat(04,72) = 0472 -> J=7,C=2,G=4,A=0
  R205: concat(04,73) = 0473 -> J=7,C=3,G=4,A=0
  R206: concat(04,75) = 0475 -> J=7,C=5,G=4,A=0
  R207: concat(04,76) = 0476 -> J=7,C=6,G=4,A=0
  R208: concat(04,78) = 0478 -> J=7,C=8,G=4,A=0
  R209: concat(04,79) = 0479 -> J=7,C=9,G=4,A=0
  R210: concat(04,81) = 0481 -> J=8,C=1,G=4,A=0
  R211: concat(04,82) = 0482 -> J=8,C=2,G=4,A=0
  R212: concat(04,83) = 0483 -> J=8,C=3,G=4,A=0
  R213: concat(04,85) = 0485 -> J=8,C=5,G=4,A=0
  R214: concat(04,86) = 0486 -> J=8,C=6,G=4,A=0
  R215: concat(04,87) = 0487 -> J=8,C=7,G=4,A=0
  R216: concat(04,89) = 0489 -> J=8,C=9,G=4,A=0
  R217: concat(04,91) = 0491 -> J=9,C=1,G=4,A=0
  R218: concat(04,92) = 0492 -> J=9,C=2,G=4,A=0
  R219: concat(04,93) = 0493 -> J=9,C=3,G=4,A=0
  R220: concat(04,95) = 0495 -> J=9,C=5,G=4,A=0
  R221: concat(04,96) = 0496 -> J=9,C=6,G=4,A=0
  R222: concat(04,97) = 0497 -> J=9,C=7,G=4,A=0
  R223: concat(04,98) = 0498 -> J=9,C=8,G=4,A=0
  R224: concat(05,12) = 0512 -> J=1,C=2,G=5,A=0
  R225: concat(05,13) = 0513 -> J=1,C=3,G=5,A=0
  R226: concat(05,14) = 0514 -> J=1,C=4,G=5,A=0
  R227: concat(05,16) = 0516 -> J=1,C=6,G=5,A=0
  R228: concat(05,17) = 0517 -> J=1,C=7,G=5,A=0
  R229: concat(05,18) = 0518 -> J=1,C=8,G=5,A=0
  R230: concat(05,19) = 0519 -> J=1,C=9,G=5,A=0
  R231: concat(05,21) = 0521 -> J=2,C=1,G=5,A=0
  R232: concat(05,23) = 0523 -> J=2,C=3,G=5,A=0
  R233: concat(05,24) = 0524 -> J=2,C=4,G=5,A=0
  R234: concat(05,26) = 0526 -> J=2,C=6,G=5,A=0
  R235: concat(05,27) = 0527 -> J=2,C=7,G=5,A=0
  R236: concat(05,28) = 0528 -> J=2,C=8,G=5,A=0
  R237: concat(05,29) = 0529 -> J=2,C=9,G=5,A=0
  R238: concat(05,31) = 0531 -> J=3,C=1,G=5,A=0
  R239: concat(05,32) = 0532 -> J=3,C=2,G=5,A=0
  R240: concat(05,34) = 0534 -> J=3,C=4,G=5,A=0
  R241: concat(05,36) = 0536 -> J=3,C=6,G=5,A=0
  R242: concat(05,37) = 0537 -> J=3,C=7,G=5,A=0
  R243: concat(05,38) = 0538 -> J=3,C=8,G=5,A=0
  R244: concat(05,39) = 0539 -> J=3,C=9,G=5,A=0
  R245: concat(05,41) = 0541 -> J=4,C=1,G=5,A=0
  R246: concat(05,42) = 0542 -> J=4,C=2,G=5,A=0
  R247: concat(05,43) = 0543 -> J=4,C=3,G=5,A=0
  R248: concat(05,46) = 0546 -> J=4,C=6,G=5,A=0
  R249: concat(05,47) = 0547 -> J=4,C=7,G=5,A=0
  R250: concat(05,48) = 0548 -> J=4,C=8,G=5,A=0
  R251: concat(05,49) = 0549 -> J=4,C=9,G=5,A=0
  R252: concat(05,61) = 0561 -> J=6,C=1,G=5,A=0
  R253: concat(05,62) = 0562 -> J=6,C=2,G=5,A=0
  R254: concat(05,63) = 0563 -> J=6,C=3,G=5,A=0
  R255: concat(05,64) = 0564 -> J=6,C=4,G=5,A=0
  R256: concat(05,67) = 0567 -> J=6,C=7,G=5,A=0
  R257: concat(05,68) = 0568 -> J=6,C=8,G=5,A=0
  R258: concat(05,69) = 0569 -> J=6,C=9,G=5,A=0
  R259: concat(05,71) = 0571 -> J=7,C=1,G=5,A=0
  R260: concat(05,72) = 0572 -> J=7,C=2,G=5,A=0
  R261: concat(05,73) = 0573 -> J=7,C=3,G=5,A=0
  R262: concat(05,74) = 0574 -> J=7,C=4,G=5,A=0
  R263: concat(05,76) = 0576 -> J=7,C=6,G=5,A=0
  R264: concat(05,78) = 0578 -> J=7,C=8,G=5,A=0
  R265: concat(05,79) = 0579 -> J=7,C=9,G=5,A=0
  R266: concat(05,81) = 0581 -> J=8,C=1,G=5,A=0
  R267: concat(05,82) = 0582 -> J=8,C=2,G=5,A=0
  R268: concat(05,83) = 0583 -> J=8,C=3,G=5,A=0
  R269: concat(05,84) = 0584 -> J=8,C=4,G=5,A=0
  R270: concat(05,86) = 0586 -> J=8,C=6,G=5,A=0
  R271: concat(05,87) = 0587 -> J=8,C=7,G=5,A=0
  R272: concat(05,89) = 0589 -> J=8,C=9,G=5,A=0
  R273: concat(05,91) = 0591 -> J=9,C=1,G=5,A=0
  R274: concat(05,92) = 0592 -> J=9,C=2,G=5,A=0
  R275: concat(05,93) = 0593 -> J=9,C=3,G=5,A=0
  R276: concat(05,94) = 0594 -> J=9,C=4,G=5,A=0
  R277: concat(05,96) = 0596 -> J=9,C=6,G=5,A=0
  R278: concat(05,97) = 0597 -> J=9,C=7,G=5,A=0
  R279: concat(05,98) = 0598 -> J=9,C=8,G=5,A=0
  R280: concat(06,12) = 0612 -> J=1,C=2,G=6,A=0
  R281: concat(06,13) = 0613 -> J=1,C=3,G=6,A=0
  R282: concat(06,14) = 0614 -> J=1,C=4,G=6,A=0
  R283: concat(06,15) = 0615 -> J=1,C=5,G=6,A=0
  R284: concat(06,17) = 0617 -> J=1,C=7,G=6,A=0
  R285: concat(06,18) = 0618 -> J=1,C=8,G=6,A=0
  R286: concat(06,19) = 0619 -> J=1,C=9,G=6,A=0
  R287: concat(06,21) = 0621 -> J=2,C=1,G=6,A=0
  R288: concat(06,23) = 0623 -> J=2,C=3,G=6,A=0
  R289: concat(06,24) = 0624 -> J=2,C=4,G=6,A=0
  R290: concat(06,25) = 0625 -> J=2,C=5,G=6,A=0
  R291: concat(06,27) = 0627 -> J=2,C=7,G=6,A=0
  R292: concat(06,28) = 0628 -> J=2,C=8,G=6,A=0
  R293: concat(06,29) = 0629 -> J=2,C=9,G=6,A=0
  R294: concat(06,31) = 0631 -> J=3,C=1,G=6,A=0
  R295: concat(06,32) = 0632 -> J=3,C=2,G=6,A=0
  R296: concat(06,34) = 0634 -> J=3,C=4,G=6,A=0
  R297: concat(06,35) = 0635 -> J=3,C=5,G=6,A=0
  R298: concat(06,37) = 0637 -> J=3,C=7,G=6,A=0
  R299: concat(06,38) = 0638 -> J=3,C=8,G=6,A=0
  R300: concat(06,39) = 0639 -> J=3,C=9,G=6,A=0
  R301: concat(06,41) = 0641 -> J=4,C=1,G=6,A=0
  R302: concat(06,42) = 0642 -> J=4,C=2,G=6,A=0
  R303: concat(06,43) = 0643 -> J=4,C=3,G=6,A=0
  R304: concat(06,45) = 0645 -> J=4,C=5,G=6,A=0
  R305: concat(06,47) = 0647 -> J=4,C=7,G=6,A=0
  R306: concat(06,48) = 0648 -> J=4,C=8,G=6,A=0
  R307: concat(06,49) = 0649 -> J=4,C=9,G=6,A=0
  R308: concat(06,51) = 0651 -> J=5,C=1,G=6,A=0
  R309: concat(06,52) = 0652 -> J=5,C=2,G=6,A=0
  R310: concat(06,53) = 0653 -> J=5,C=3,G=6,A=0
  R311: concat(06,54) = 0654 -> J=5,C=4,G=6,A=0
  R312: concat(06,57) = 0657 -> J=5,C=7,G=6,A=0
  R313: concat(06,58) = 0658 -> J=5,C=8,G=6,A=0
  R314: concat(06,59) = 0659 -> J=5,C=9,G=6,A=0
  R315: concat(06,71) = 0671 -> J=7,C=1,G=6,A=0
  R316: concat(06,72) = 0672 -> J=7,C=2,G=6,A=0
  R317: concat(06,73) = 0673 -> J=7,C=3,G=6,A=0
  R318: concat(06,74) = 0674 -> J=7,C=4,G=6,A=0
  R319: concat(06,75) = 0675 -> J=7,C=5,G=6,A=0
  R320: concat(06,78) = 0678 -> J=7,C=8,G=6,A=0
  R321: concat(06,79) = 0679 -> J=7,C=9,G=6,A=0
  R322: concat(06,81) = 0681 -> J=8,C=1,G=6,A=0
  R323: concat(06,82) = 0682 -> J=8,C=2,G=6,A=0
  R324: concat(06,83) = 0683 -> J=8,C=3,G=6,A=0
  R325: concat(06,84) = 0684 -> J=8,C=4,G=6,A=0
  R326: concat(06,85) = 0685 -> J=8,C=5,G=6,A=0
  R327: concat(06,87) = 0687 -> J=8,C=7,G=6,A=0
  R328: concat(06,89) = 0689 -> J=8,C=9,G=6,A=0
  R329: concat(06,91) = 0691 -> J=9,C=1,G=6,A=0
  R330: concat(06,92) = 0692 -> J=9,C=2,G=6,A=0
  R331: concat(06,93) = 0693 -> J=9,C=3,G=6,A=0
  R332: concat(06,94) = 0694 -> J=9,C=4,G=6,A=0
  R333: concat(06,95) = 0695 -> J=9,C=5,G=6,A=0
  R334: concat(06,97) = 0697 -> J=9,C=7,G=6,A=0
  R335: concat(06,98) = 0698 -> J=9,C=8,G=6,A=0
  R336: concat(07,12) = 0712 -> J=1,C=2,G=7,A=0
  R337: concat(07,13) = 0713 -> J=1,C=3,G=7,A=0
  R338: concat(07,14) = 0714 -> J=1,C=4,G=7,A=0
  R339: concat(07,15) = 0715 -> J=1,C=5,G=7,A=0
  R340: concat(07,16) = 0716 -> J=1,C=6,G=7,A=0
  R341: concat(07,18) = 0718 -> J=1,C=8,G=7,A=0
  R342: concat(07,19) = 0719 -> J=1,C=9,G=7,A=0
  R343: concat(07,21) = 0721 -> J=2,C=1,G=7,A=0
  R344: concat(07,23) = 0723 -> J=2,C=3,G=7,A=0
  R345: concat(07,24) = 0724 -> J=2,C=4,G=7,A=0
  R346: concat(07,25) = 0725 -> J=2,C=5,G=7,A=0
  R347: concat(07,26) = 0726 -> J=2,C=6,G=7,A=0
  R348: concat(07,28) = 0728 -> J=2,C=8,G=7,A=0
  R349: concat(07,29) = 0729 -> J=2,C=9,G=7,A=0
  R350: concat(07,31) = 0731 -> J=3,C=1,G=7,A=0
  R351: concat(07,32) = 0732 -> J=3,C=2,G=7,A=0
  R352: concat(07,34) = 0734 -> J=3,C=4,G=7,A=0
  R353: concat(07,35) = 0735 -> J=3,C=5,G=7,A=0
  R354: concat(07,36) = 0736 -> J=3,C=6,G=7,A=0
  R355: concat(07,38) = 0738 -> J=3,C=8,G=7,A=0
  R356: concat(07,39) = 0739 -> J=3,C=9,G=7,A=0
  R357: concat(07,41) = 0741 -> J=4,C=1,G=7,A=0
  R358: concat(07,42) = 0742 -> J=4,C=2,G=7,A=0
  R359: concat(07,43) = 0743 -> J=4,C=3,G=7,A=0
  R360: concat(07,45) = 0745 -> J=4,C=5,G=7,A=0
  R361: concat(07,46) = 0746 -> J=4,C=6,G=7,A=0
  R362: concat(07,48) = 0748 -> J=4,C=8,G=7,A=0
  R363: concat(07,49) = 0749 -> J=4,C=9,G=7,A=0
  R364: concat(07,51) = 0751 -> J=5,C=1,G=7,A=0
  R365: concat(07,52) = 0752 -> J=5,C=2,G=7,A=0
  R366: concat(07,53) = 0753 -> J=5,C=3,G=7,A=0
  R367: concat(07,54) = 0754 -> J=5,C=4,G=7,A=0
  R368: concat(07,56) = 0756 -> J=5,C=6,G=7,A=0
  R369: concat(07,58) = 0758 -> J=5,C=8,G=7,A=0
  R370: concat(07,59) = 0759 -> J=5,C=9,G=7,A=0
  R371: concat(07,61) = 0761 -> J=6,C=1,G=7,A=0
  R372: concat(07,62) = 0762 -> J=6,C=2,G=7,A=0
  R373: concat(07,63) = 0763 -> J=6,C=3,G=7,A=0
  R374: concat(07,64) = 0764 -> J=6,C=4,G=7,A=0
  R375: concat(07,65) = 0765 -> J=6,C=5,G=7,A=0
  R376: concat(07,68) = 0768 -> J=6,C=8,G=7,A=0
  R377: concat(07,69) = 0769 -> J=6,C=9,G=7,A=0
  R378: concat(07,81) = 0781 -> J=8,C=1,G=7,A=0
  R379: concat(07,82) = 0782 -> J=8,C=2,G=7,A=0
  R380: concat(07,83) = 0783 -> J=8,C=3,G=7,A=0
  R381: concat(07,84) = 0784 -> J=8,C=4,G=7,A=0
  R382: concat(07,85) = 0785 -> J=8,C=5,G=7,A=0
  R383: concat(07,86) = 0786 -> J=8,C=6,G=7,A=0
  R384: concat(07,89) = 0789 -> J=8,C=9,G=7,A=0
  R385: concat(07,91) = 0791 -> J=9,C=1,G=7,A=0
  R386: concat(07,92) = 0792 -> J=9,C=2,G=7,A=0
  R387: concat(07,93) = 0793 -> J=9,C=3,G=7,A=0
